RowName,InstrumentName,InstrumentTypeCategory,UpgradeName,Cost
1,Drums1,1,DRUM to get rid of,2000
2,Drums2,2,"Small Drum, Need out of House",3500
3,Drums3,3,1975 Drumster Fire *BRAND NEW*,5500
4,Guitar1,4,Bender '54 (slight damage),2000
5,Guitar2,5,Full Size Lagoon Guitar Bag,3500
6,Guitar3,6,Signed Gibby Guitar knob,5500
7,Bass1,7,Pro Fish Guitar 2023 ,2000
8,Bass2,8,Refurbished Grand Largemouth,3500
9,Bass3,9,Used Bass strings (Still in package),5500
10,Wild1,10,Europa-3 Grand Piano,2000
11,Wild2,11,"Ganymede M series 5' 13""",3500
12,Wild3,12,Lysithea-49SD moonlit edition Piano,5500
13,Drums1,1,DRUM to get rid of,2300
14,Drums2,2,"Small Drum, Need out of House",4025
15,Drums3,3,1975 Drumster Fire *BRAND NEW*,6325
16,Guitar1,4,Bender '54 (slight damage),2300
17,Guitar2,5,Full Size Lagoon Guitar Bag,4025
18,Guitar3,6,Signed Gibby Guitar knob,6325
19,Bass1,7,Pro Fish Guitar 2023 ,2300
20,Bass2,8,Refurbished Grand Largemouth,4025
21,Bass3,9,Used Bass strings (Still in package),6325
22,Wild1,10,Europa-3 Grand Piano,2300
23,Wild2,11,"Ganymede M series 5' 13""",4025
24,Wild3,12,Lysithea-49SD moonlit edition Piano,6325
25,Drums1,1,DRUM to get rid of,2645
26,Drums2,2,"Small Drum, Need out of House",4629
27,Drums3,3,1975 Drumster Fire *BRAND NEW*,7274
28,Guitar1,4,Bender '54 (slight damage),2645
29,Guitar2,5,Full Size Lagoon Guitar Bag,4629
30,Guitar3,6,Signed Gibby Guitar knob,7274
31,Bass1,7,Pro Fish Guitar 2023 ,2645
32,Bass2,8,Refurbished Grand Largemouth,4629
33,Bass3,9,Used Bass strings (Still in package),7274
34,Wild1,10,Europa-3 Grand Piano,2645
35,Wild2,11,"Ganymede M series 5' 13""",4629
36,Wild3,12,Lysithea-49SD moonlit edition Piano,7274
37,Drums1,1,DRUM to get rid of,3042
38,Drums2,2,"Small Drum, Need out of House",5323
39,Drums3,3,1975 Drumster Fire *BRAND NEW*,8365
40,Guitar1,4,Bender '54 (slight damage),3042
41,Guitar2,5,Full Size Lagoon Guitar Bag,5323
42,Guitar3,6,Signed Gibby Guitar knob,8365
43,Bass1,7,Pro Fish Guitar 2023 ,3042
44,Bass2,8,Refurbished Grand Largemouth,5323
45,Bass3,9,Used Bass strings (Still in package),8365
46,Wild1,10,Europa-3 Grand Piano,3042
47,Wild2,11,"Ganymede M series 5' 13""",5323
48,Wild3,12,Lysithea-49SD moonlit edition Piano,8365
49,Drums1,1,DRUM to get rid of,3498
50,Drums2,2,"Small Drum, Need out of House",6121
51,Drums3,3,1975 Drumster Fire *BRAND NEW*,9620
52,Guitar1,4,Bender '54 (slight damage),3498
53,Guitar2,5,Full Size Lagoon Guitar Bag,6121
54,Guitar3,6,Signed Gibby Guitar knob,9620
55,Bass1,7,Pro Fish Guitar 2023 ,3498
56,Bass2,8,Refurbished Grand Largemouth,6121
57,Bass3,9,Used Bass strings (Still in package),9620
58,Wild1,10,Europa-3 Grand Piano,3498
59,Wild2,11,"Ganymede M series 5' 13""",6121
60,Wild3,12,Lysithea-49SD moonlit edition Piano,9620
61,Drums1,1,DRUM to get rid of,4023
62,Drums2,2,"Small Drum, Need out of House",7039
63,Drums3,3,1975 Drumster Fire *BRAND NEW*,11063
64,Guitar1,4,Bender '54 (slight damage),4023
65,Guitar2,5,Full Size Lagoon Guitar Bag,7039
66,Guitar3,6,Signed Gibby Guitar knob,11063
67,Bass1,7,Pro Fish Guitar 2023 ,4023
68,Bass2,8,Refurbished Grand Largemouth,7039
69,Bass3,9,Used Bass strings (Still in package),11063
70,Wild1,10,Europa-3 Grand Piano,4023
71,Wild2,11,"Ganymede M series 5' 13""",7039
72,Wild3,12,Lysithea-49SD moonlit edition Piano,11063
73,Drums1,1,DRUM to get rid of,4626
74,Drums2,2,"Small Drum, Need out of House",8095
75,Drums3,3,1975 Drumster Fire *BRAND NEW*,12722
76,Guitar1,4,Bender '54 (slight damage),4626
77,Guitar2,5,Full Size Lagoon Guitar Bag,8095
78,Guitar3,6,Signed Gibby Guitar knob,12722
79,Bass1,7,Pro Fish Guitar 2023 ,4626
80,Bass2,8,Refurbished Grand Largemouth,8095
81,Bass3,9,Used Bass strings (Still in package),12722
82,Wild1,10,Europa-3 Grand Piano,4626
83,Wild2,11,"Ganymede M series 5' 13""",8095
84,Wild3,12,Lysithea-49SD moonlit edition Piano,12722
85,Drums1,1,DRUM to get rid of,5320
86,Drums2,2,"Small Drum, Need out of House",9309
87,Drums3,3,1975 Drumster Fire *BRAND NEW*,14630
88,Guitar1,4,Bender '54 (slight damage),5320
89,Guitar2,5,Full Size Lagoon Guitar Bag,9309
90,Guitar3,6,Signed Gibby Guitar knob,14630
91,Bass1,7,Pro Fish Guitar 2023 ,5320
92,Bass2,8,Refurbished Grand Largemouth,9309
93,Bass3,9,Used Bass strings (Still in package),14630
94,Wild1,10,Europa-3 Grand Piano,5320
95,Wild2,11,"Ganymede M series 5' 13""",9309
96,Wild3,12,Lysithea-49SD moonlit edition Piano,14630
97,Drums1,1,DRUM to get rid of,6118
98,Drums2,2,"Small Drum, Need out of House",10705
99,Drums3,3,1975 Drumster Fire *BRAND NEW*,16825
100,Guitar1,4,Bender '54 (slight damage),6118
101,Guitar2,5,Full Size Lagoon Guitar Bag,10705
102,Guitar3,6,Signed Gibby Guitar knob,16825
103,Bass1,7,Pro Fish Guitar 2023 ,6118
104,Bass2,8,Refurbished Grand Largemouth,10705
105,Bass3,9,Used Bass strings (Still in package),16825
106,Wild1,10,Europa-3 Grand Piano,6118
107,Wild2,11,"Ganymede M series 5' 13""",10705
108,Wild3,12,Lysithea-49SD moonlit edition Piano,16825
109,Drums1,1,DRUM to get rid of,7036
110,Drums2,2,"Small Drum, Need out of House",12311
111,Drums3,3,1975 Drumster Fire *BRAND NEW*,19349
112,Guitar1,4,Bender '54 (slight damage),7036
113,Guitar2,5,Full Size Lagoon Guitar Bag,12311
114,Guitar3,6,Signed Gibby Guitar knob,19349
115,Bass1,7,Pro Fish Guitar 2023 ,7036
116,Bass2,8,Refurbished Grand Largemouth,12311
117,Bass3,9,Used Bass strings (Still in package),19349
118,Wild1,10,Europa-3 Grand Piano,7036
119,Wild2,11,"Ganymede M series 5' 13""",12311
120,Wild3,12,Lysithea-49SD moonlit edition Piano,19349
121,Drums1,1,DRUM to get rid of,8091
122,Drums2,2,"Small Drum, Need out of House",14158
123,Drums3,3,1975 Drumster Fire *BRAND NEW*,22251
124,Guitar1,4,Bender '54 (slight damage),8091
125,Guitar2,5,Full Size Lagoon Guitar Bag,14158
126,Guitar3,6,Signed Gibby Guitar knob,22251
127,Bass1,7,Pro Fish Guitar 2023 ,8091
128,Bass2,8,Refurbished Grand Largemouth,14158
129,Bass3,9,Used Bass strings (Still in package),22251
130,Wild1,10,Europa-3 Grand Piano,8091
131,Wild2,11,"Ganymede M series 5' 13""",14158
132,Wild3,12,Lysithea-49SD moonlit edition Piano,22251
133,Drums1,1,DRUM to get rid of,9305
134,Drums2,2,"Small Drum, Need out of House",16282
135,Drums3,3,1975 Drumster Fire *BRAND NEW*,25589
136,Guitar1,4,Bender '54 (slight damage),9305
137,Guitar2,5,Full Size Lagoon Guitar Bag,16282
138,Guitar3,6,Signed Gibby Guitar knob,25589
139,Bass1,7,Pro Fish Guitar 2023 ,9305
140,Bass2,8,Refurbished Grand Largemouth,16282
141,Bass3,9,Used Bass strings (Still in package),25589
142,Wild1,10,Europa-3 Grand Piano,9305
143,Wild2,11,"Ganymede M series 5' 13""",16282
