RowName,InstrumentName,InstrumentTypeCategory,UpgradeName,Cost
1,Drums1,1,DRUM to get rid of,4000
2,Drums2,2,"Small Drum, Need out of House",6500
3,Drums3,3,1975 Drumster Fire *BRAND NEW*,8500
4,Guitar1,4,Bender '54 (slight damage),4000
5,Guitar2,5,Full Size Lagoon Guitar Bag,6500
6,Guitar3,6,Signed Gibby Guitar knob,8500
7,Bass1,7,Pro Fish Guitar 2023 ,4000
8,Bass2,8,Refurbished Grand Largemouth,6500
9,Bass3,9,Used Bass strings (Still in package),8500
10,Wild1,10,Pre-Used Uptight Baby Grandfather,4000
11,Wild2,11,Beautiful Echenbach Standing Piano,6500
12,Wild3,12,Stage 69 Vintage Electric Piano,8500
13,Drums1,1,DRUM to get rid of,4800
14,Drums2,2,"Small Drum, Need out of House",7800
15,Drums3,3,1975 Drumster Fire *BRAND NEW*,10200
16,Guitar1,4,Bender '54 (slight damage),4800
17,Guitar2,5,Full Size Lagoon Guitar Bag,7800
18,Guitar3,6,Signed Gibby Guitar knob,10200
19,Bass1,7,Pro Fish Guitar 2023 ,4800
20,Bass2,8,Refurbished Grand Largemouth,7800
21,Bass3,9,Used Bass strings (Still in package),10200
22,Wild1,10,Pre-Used Uptight Baby Grandfather,4800
23,Wild2,11,Beautiful Echenbach Standing Piano,7800
24,Wild3,12,Stage 69 Vintage Electric Piano,10200
25,Drums1,1,DRUM to get rid of,5760
26,Drums2,2,"Small Drum, Need out of House",9360
27,Drums3,3,1975 Drumster Fire *BRAND NEW*,12240
28,Guitar1,4,Bender '54 (slight damage),5760
29,Guitar2,5,Full Size Lagoon Guitar Bag,9360
30,Guitar3,6,Signed Gibby Guitar knob,12240
31,Bass1,7,Pro Fish Guitar 2023 ,5760
32,Bass2,8,Refurbished Grand Largemouth,9360
33,Bass3,9,Used Bass strings (Still in package),12240
34,Wild1,10,Pre-Used Uptight Baby Grandfather,5760
35,Wild2,11,Beautiful Echenbach Standing Piano,9360
36,Wild3,12,Stage 69 Vintage Electric Piano,12240
37,Drums1,1,DRUM to get rid of,6912
38,Drums2,2,"Small Drum, Need out of House",11232
39,Drums3,3,1975 Drumster Fire *BRAND NEW*,14688
40,Guitar1,4,Bender '54 (slight damage),6912
41,Guitar2,5,Full Size Lagoon Guitar Bag,11232
42,Guitar3,6,Signed Gibby Guitar knob,14688
43,Bass1,7,Pro Fish Guitar 2023 ,6912
44,Bass2,8,Refurbished Grand Largemouth,11232
45,Bass3,9,Used Bass strings (Still in package),14688
46,Wild1,10,Pre-Used Uptight Baby Grandfather,6912
47,Wild2,11,Beautiful Echenbach Standing Piano,11232
48,Wild3,12,Stage 69 Vintage Electric Piano,14688
49,Drums1,1,DRUM to get rid of,8294
50,Drums2,2,"Small Drum, Need out of House",13478
51,Drums3,3,1975 Drumster Fire *BRAND NEW*,17626
52,Guitar1,4,Bender '54 (slight damage),8294
53,Guitar2,5,Full Size Lagoon Guitar Bag,13478
54,Guitar3,6,Signed Gibby Guitar knob,17626
55,Bass1,7,Pro Fish Guitar 2023 ,8294
56,Bass2,8,Refurbished Grand Largemouth,13478
57,Bass3,9,Used Bass strings (Still in package),17626
58,Wild1,10,Pre-Used Uptight Baby Grandfather,8294
59,Wild2,11,Beautiful Echenbach Standing Piano,13478
60,Wild3,12,Stage 69 Vintage Electric Piano,17626
61,Drums1,1,DRUM to get rid of,9953
62,Drums2,2,"Small Drum, Need out of House",16174
63,Drums3,3,1975 Drumster Fire *BRAND NEW*,21151
64,Guitar1,4,Bender '54 (slight damage),9953
65,Guitar2,5,Full Size Lagoon Guitar Bag,16174
66,Guitar3,6,Signed Gibby Guitar knob,21151
67,Bass1,7,Pro Fish Guitar 2023 ,9953
68,Bass2,8,Refurbished Grand Largemouth,16174
69,Bass3,9,Used Bass strings (Still in package),21151
70,Wild1,10,Pre-Used Uptight Baby Grandfather,9953
71,Wild2,11,Beautiful Echenbach Standing Piano,16174
72,Wild3,12,Stage 69 Vintage Electric Piano,21151
73,Drums1,1,DRUM to get rid of,11944
74,Drums2,2,"Small Drum, Need out of House",19409
75,Drums3,3,1975 Drumster Fire *BRAND NEW*,25381
76,Guitar1,4,Bender '54 (slight damage),11944
77,Guitar2,5,Full Size Lagoon Guitar Bag,19409
78,Guitar3,6,Signed Gibby Guitar knob,25381
79,Bass1,7,Pro Fish Guitar 2023 ,11944
80,Bass2,8,Refurbished Grand Largemouth,19409
81,Bass3,9,Used Bass strings (Still in package),25381
82,Wild1,10,Pre-Used Uptight Baby Grandfather,11944
83,Wild2,11,Beautiful Echenbach Standing Piano,19409
84,Wild3,12,Stage 69 Vintage Electric Piano,25381
85,Drums1,1,DRUM to get rid of,14333
86,Drums2,2,"Small Drum, Need out of House",23291
87,Drums3,3,1975 Drumster Fire *BRAND NEW*,30457
88,Guitar1,4,Bender '54 (slight damage),14333
89,Guitar2,5,Full Size Lagoon Guitar Bag,23291
90,Guitar3,6,Signed Gibby Guitar knob,30457
91,Bass1,7,Pro Fish Guitar 2023 ,14333
92,Bass2,8,Refurbished Grand Largemouth,23291
93,Bass3,9,Used Bass strings (Still in package),30457
94,Wild1,10,Pre-Used Uptight Baby Grandfather,14333
95,Wild2,11,Beautiful Echenbach Standing Piano,23291
96,Wild3,12,Stage 69 Vintage Electric Piano,30457
97,Drums1,1,DRUM to get rid of,17200
98,Drums2,2,"Small Drum, Need out of House",27949
99,Drums3,3,1975 Drumster Fire *BRAND NEW*,36548
100,Guitar1,4,Bender '54 (slight damage),17200
101,Guitar2,5,Full Size Lagoon Guitar Bag,27949
102,Guitar3,6,Signed Gibby Guitar knob,36548
103,Bass1,7,Pro Fish Guitar 2023 ,17200
104,Bass2,8,Refurbished Grand Largemouth,27949
105,Bass3,9,Used Bass strings (Still in package),36548
106,Wild1,10,Pre-Used Uptight Baby Grandfather,17200
107,Wild2,11,Beautiful Echenbach Standing Piano,27949
108,Wild3,12,Stage 69 Vintage Electric Piano,36548
109,Drums1,1,DRUM to get rid of,20640
110,Drums2,2,"Small Drum, Need out of House",33539
111,Drums3,3,1975 Drumster Fire *BRAND NEW*,43858
112,Guitar1,4,Bender '54 (slight damage),20640
113,Guitar2,5,Full Size Lagoon Guitar Bag,33539
114,Guitar3,6,Signed Gibby Guitar knob,43858
115,Bass1,7,Pro Fish Guitar 2023 ,20640
116,Bass2,8,Refurbished Grand Largemouth,33539
117,Bass3,9,Used Bass strings (Still in package),43858
118,Wild1,10,Pre-Used Uptight Baby Grandfather,20640
119,Wild2,11,Beautiful Echenbach Standing Piano,33539
120,Wild3,12,Stage 69 Vintage Electric Piano,43858
121,Drums1,1,DRUM to get rid of,24768
122,Drums2,2,"Small Drum, Need out of House",40247
123,Drums3,3,1975 Drumster Fire *BRAND NEW*,52630
124,Guitar1,4,Bender '54 (slight damage),24768
125,Guitar2,5,Full Size Lagoon Guitar Bag,40247
126,Guitar3,6,Signed Gibby Guitar knob,52630
127,Bass1,7,Pro Fish Guitar 2023 ,24768
128,Bass2,8,Refurbished Grand Largemouth,40247
129,Bass3,9,Used Bass strings (Still in package),52630
130,Wild1,10,Pre-Used Uptight Baby Grandfather,24768
131,Wild2,11,Beautiful Echenbach Standing Piano,40247
132,Wild3,12,Stage 69 Vintage Electric Piano,52630
133,Drums1,1,DRUM to get rid of,29722
134,Drums2,2,"Small Drum, Need out of House",48296
135,Drums3,3,1975 Drumster Fire *BRAND NEW*,63156
136,Guitar1,4,Bender '54 (slight damage),29722
137,Guitar2,5,Full Size Lagoon Guitar Bag,48296
138,Guitar3,6,Signed Gibby Guitar knob,63156
139,Bass1,7,Pro Fish Guitar 2023 ,29722
140,Bass2,8,Refurbished Grand Largemouth,48296
141,Bass3,9,Used Bass strings (Still in package),63156
142,Wild1,10,Pre-Used Uptight Baby Grandfather,29722
143,Wild2,11,Beautiful Echenbach Standing Piano,48296
144,Wild3,12,Stage 69 Vintage Electric Piano,63156
145,Drums1,1,DRUM to get rid of,35666
146,Drums2,2,"Small Drum, Need out of House",57955
147,Drums3,3,1975 Drumster Fire *BRAND NEW*,75787
148,Guitar1,4,Bender '54 (slight damage),35666
149,Guitar2,5,Full Size Lagoon Guitar Bag,57955
150,Guitar3,6,Signed Gibby Guitar knob,75787
151,Bass1,7,Pro Fish Guitar 2023 ,35666
152,Bass2,8,Refurbished Grand Largemouth,57955
153,Bass3,9,Used Bass strings (Still in package),75787
154,Wild1,10,Pre-Used Uptight Baby Grandfather,35666
155,Wild2,11,Beautiful Echenbach Standing Piano,57955
156,Wild3,12,Stage 69 Vintage Electric Piano,75787
157,Drums1,1,DRUM to get rid of,42799
158,Drums2,2,"Small Drum, Need out of House",69546
159,Drums3,3,1975 Drumster Fire *BRAND NEW*,90944
160,Guitar1,4,Bender '54 (slight damage),42799
161,Guitar2,5,Full Size Lagoon Guitar Bag,69546
162,Guitar3,6,Signed Gibby Guitar knob,90944
163,Bass1,7,Pro Fish Guitar 2023 ,42799
164,Bass2,8,Refurbished Grand Largemouth,69546
165,Bass3,9,Used Bass strings (Still in package),90944
166,Wild1,10,Pre-Used Uptight Baby Grandfather,42799
167,Wild2,11,Beautiful Echenbach Standing Piano,69546
168,Wild3,12,Stage 69 Vintage Electric Piano,90944
169,Drums1,1,DRUM to get rid of,51359
170,Drums2,2,"Small Drum, Need out of House",83455
