RowName,InstrumentName,InstrumentTypeCategory,UpgradeName,Cost
1,Drums1,1,DRUM to get rid of,3000
2,Drums2,2,"Small Drum, Need out of House",5500
3,Drums3,3,1975 Drumster Fire *BRAND NEW*,7500
4,Guitar1,4,Bender '54 (slight damage),3000
5,Guitar2,5,Full Size Lagoon Guitar Bag,5500
6,Guitar3,6,Signed Gibby Guitar knob,7500
7,Bass1,7,Pro Fish Guitar 2023 ,3000
8,Bass2,8,Refurbished Grand Largemouth,5500
9,Bass3,9,Used Bass strings (Still in package),7500
10,Wild1,10,Vintage Torchhead no strings,3000
11,Wild2,11,Custom Blender USA Reissued ,5500
12,Wild3,12,Hearthead Mahogany Jimmy Tooth Electric Guitar,7500
13,Drums1,1,DRUM to get rid of,3600
14,Drums2,2,"Small Drum, Need out of House",6600
15,Drums3,3,1975 Drumster Fire *BRAND NEW*,9000
16,Guitar1,4,Bender '54 (slight damage),3600
17,Guitar2,5,Full Size Lagoon Guitar Bag,6600
18,Guitar3,6,Signed Gibby Guitar knob,9000
19,Bass1,7,Pro Fish Guitar 2023 ,3600
20,Bass2,8,Refurbished Grand Largemouth,6600
21,Bass3,9,Used Bass strings (Still in package),9000
22,Wild1,10,Vintage Torchhead no strings,3600
23,Wild2,11,Custom Blender USA Reissued ,6600
24,Wild3,12,Hearthead Mahogany Jimmy Tooth Electric Guitar,9000
25,Drums1,1,DRUM to get rid of,4320
26,Drums2,2,"Small Drum, Need out of House",7920
27,Drums3,3,1975 Drumster Fire *BRAND NEW*,10800
28,Guitar1,4,Bender '54 (slight damage),4320
29,Guitar2,5,Full Size Lagoon Guitar Bag,7920
30,Guitar3,6,Signed Gibby Guitar knob,10800
31,Bass1,7,Pro Fish Guitar 2023 ,4320
32,Bass2,8,Refurbished Grand Largemouth,7920
33,Bass3,9,Used Bass strings (Still in package),10800
34,Wild1,10,Vintage Torchhead no strings,4320
35,Wild2,11,Custom Blender USA Reissued ,7920
36,Wild3,12,Hearthead Mahogany Jimmy Tooth Electric Guitar,10800
37,Drums1,1,DRUM to get rid of,5184
38,Drums2,2,"Small Drum, Need out of House",9504
39,Drums3,3,1975 Drumster Fire *BRAND NEW*,12960
40,Guitar1,4,Bender '54 (slight damage),5184
41,Guitar2,5,Full Size Lagoon Guitar Bag,9504
42,Guitar3,6,Signed Gibby Guitar knob,12960
43,Bass1,7,Pro Fish Guitar 2023 ,5184
44,Bass2,8,Refurbished Grand Largemouth,9504
45,Bass3,9,Used Bass strings (Still in package),12960
46,Wild1,10,Vintage Torchhead no strings,5184
